S.no,Player Name,Runs in Flat Pitches,Runs in Red Soil Pitches,Runs in Black Soil Pitches,Dismissals in Flat Pitches,Dismissals in Red Soil Pitches,Dismissals in Black Soil Pitches
501,MW Machan,1439,0,0,36,0,0
502,CMW Read,1436,0,0,31,0,0
503,JW Wells,1432,0,0,33,0,0
504,BR Dunk,1411,20,0,42,2,0
505,Rehan Ahmed,1429,0,0,56,0,0
506,SB Harper,1429,0,0,38,0,0
507,JF Carter,1426,0,0,30,0,0
508,JJ Peirson,1412,0,0,42,0,0
509,R Clarke,1411,0,0,45,0,0
510,JA Thompson,1409,0,0,51,0,0
511,JP Faulkner,1273,42,92,36,3,4
512,AN Petersen,1405,0,0,35,0,0
513,P Coughlin,1400,0,0,39,0,0
514,LJ Carter,1399,0,0,31,0,0
515,JN Malan,1397,0,0,24,0,0
516,Usman Khan (2),1395,0,0,30,0,0
517,Mandeep Singh,1238,73,79,38,4,2
518,S Samarawickrama,1368,21,0,41,2,0
519,KM Jadhav,1097,158,130,32,5,3
520,AP Devcich,1382,0,0,40,0,0
521,TC Fell,1381,0,0,55,0,0
522,JJ Carson,1378,0,0,49,0,0
523,JJG Sales,1377,0,0,27,0,0
524,KJ Coetzer,1375,0,0,43,0,0
525,D Ferreira,1356,18,0,36,1,0
526,Anuj Dal,1373,0,0,45,0,0
527,PBB Rajapaksa,1248,110,11,41,4,2
528,TM McGrath,1150,215,0,31,4,0
529,FJ Bean,1355,0,0,38,0,0
530,BA Carse,1349,3,0,44,1,1
531,ML Revis,1352,0,0,32,0,0
532,SM Katich,1344,8,0,30,2,0
533,MD Patel,1351,0,0,35,1,0
534,ML Pettini,1350,0,0,32,0,0
535,MP O'Dowd,1343,0,5,38,0,1
536,LG Pretorius,1345,0,0,29,0,0
537,Saud Shakeel,1338,0,0,32,0,0
538,S Luus,1303,0,33,29,0,2
539,Anshuman Rath,1334,0,0,19,0,0
540,OJ Carter,1333,0,0,43,0,0
541,J Leach,1331,0,0,54,0,0
542,G Voll,1329,0,0,28,0,0
543,SM Ervine,1322,0,0,41,0,0
544,IK Pathan,1186,135,0,33,6,0
545,F Behardien,1304,16,0,25,1,0
546,ST Doheny,1319,0,0,32,0,0
547,BFW de Leede,1294,0,10,30,0,1
548,BS Smith,1299,0,0,29,0,0
549,C Karunaratne,1257,23,11,25,0,0
550,NJ Maddinson,1288,0,0,48,0,0
551,Mehedi Hasan Miraz,1242,11,32,64,1,2
552,NJ Dexter,1285,0,0,38,0,0
553,S van Zyl,1278,0,0,34,0,0
554,LBK Hollman,1276,0,0,52,0,0
555,RK Paudel,1189,83,0,26,4,0
556,DR Sams,1252,19,0,51,3,0
557,GM Harris,1267,0,0,31,0,0
558,DB Sharma,1013,224,28,27,6,2
559,PJ Horton,1264,0,0,34,0,0
560,Craig Cachopa,1263,0,0,44,0,0
561,DAJ Bracewell,1263,0,0,35,0,0
562,Sahibzada Farhan,1259,0,0,37,0,0
563,AL Hughes,1253,0,0,56,0,0
564,ZS Ansari,1251,0,0,25,0,0
565,Asad Shafiq,1249,0,0,33,0,0
566,KU Carty,1249,0,0,26,0,0
567,Sharjeel Khan,1245,0,0,39,0,0
568,GD Elliott,1239,0,0,40,0,0
569,SR Harmer,1233,0,0,50,0,0
570,JW Hastings,1231,0,0,37,0,0
571,Mohammad Nabi,1173,55,0,42,3,0
572,DMW Rawlins,1228,0,0,43,0,0
573,AI Ross,1220,0,0,29,0,0
574,AC Kerr,1220,0,0,23,0,0
575,JA Clarkson,1218,0,0,26,0,0
576,MJ Prior,1192,21,0,35,1,0
577,TE Albert,1201,0,0,47,0,0
578,DG Brownlie,1192,0,0,35,0,0
579,Afif Hossain,1191,0,0,45,0,0
